field,stage,level,description,allowed_values
domain_coverage_social,stage3,record,"Depth of social content: work and occupational context, family and relationships, culture, socioeconomic position, healthcare system, social support, stigma, policy.",elaborated; mentioned; minimal; absent
coverage_lifestyle,stage3,record,"Depth of lifestyle content on the same ladder: physical activity and exercise behaviour, sleep hygiene, diet and weight, smoking, alcohol. Lifestyle is registered as a domain in its own right and is not folded into the triad.",elaborated; mentioned; minimal; absent
coverage_spiritual_existential,stage3,record,"Depth of spiritual or existential content on the same ladder: meaning, faith or religion, hope, existential suffering, acceptance of mortality. 'absent' is the expected value for most papers and is a finding in itself.",elaborated; mentioned; minimal; absent
domain_evidence,stage3,record,"One item per core domain you did not score as 'absent', carrying the passage that justifies the coverage level you gave it. Give domain, coverage_level (identical to the field above), constructs_named (the domain-specific constructs the...","extraction list, max 5 items"
domain_evidence.domain,stage3,item,Field inside each domain_evidence item.,biological; psychological; social
domain_evidence.coverage_level,stage3,item,Field inside each domain_evidence item.,elaborated; mentioned; minimal; absent
domain_evidence.constructs_named,stage3,item,Field inside each domain_evidence item.,list of short free-text labels
domain_evidence.subdomains_named,stage3,item,Field inside each domain_evidence item.,list of short free-text labels
domain_evidence.evidence_verbatim,stage3,item,Field inside each domain_evidence item.,"verbatim quote, max 60 words"
domain_evidence.section_located,stage3,item,Field inside each domain_evidence item.,abstract; introduction; methods; results; discussion; conclusion; table or figure; other; unclear
biological_factors,stage3,record,"Every biological factor the paper names, one item each. Give factor_label in the paper's own wording, always, and as specifically as the paper puts it; subdomain_label from the biological ontology below when one fits, and left empty or f...","extraction list, max 12 items"
biological_factors.factor_label,stage3,item,Field inside each biological_factors item.,free_text
biological_factors.subdomain_label,stage3,item,Field inside each biological_factors item.,free_text
biological_factors.mechanism_level,stage3,item,Field inside each biological_factors item.,peripheral or tissue; spinal or central nervous system; systemic or whole body; genetic or molecular; structural or anatomical; treatment related; other; unclear
biological_factors.factor_role,stage3,item,Field inside each biological_factors item.,determinant or risk factor; protective factor; mediator; moderator; outcome; correlate; treatment target; intervention component; contextual condition; descriptive theme; other; unclear
biological_factors.factor_verbatim,stage3,item,Field inside each biological_factors item.,"verbatim quote, max 60 words"
biological_factors.section_located,stage3,item,Field inside each biological_factors item.,abstract; introduction; methods; results; discussion; conclusion; table or figure; other; unclear
biological_factors.evidence_basis,stage3,item,Field inside each biological_factors item.,asserted; theorized; empirically_supported; empirically_contested; cited_from_other_work; clinical_observation; other; unclear
social_factors,stage3,record,"Every social factor the paper names, one item each, with the same structure and the same rule about labels: factor_label in the paper's own wording, subdomain_label from the social ontology below when one fits, social_level (the level of...","extraction list, max 12 items"
social_factors.factor_label,stage3,item,Field inside each social_factors item.,free_text
social_factors.subdomain_label,stage3,item,Field inside each social_factors item.,free_text
social_factors.social_level,stage3,item,Field inside each social_factors item.,interpersonal; family or household; workplace; community; healthcare system; societal or policy; cultural; economic; other; unclear
social_factors.factor_role,stage3,item,Field inside each social_factors item.,determinant or risk factor; protective factor; mediator; moderator; outcome; correlate; treatment target; intervention component; contextual condition; descriptive theme; other; unclear
social_factors.factor_verbatim,stage3,item,Field inside each social_factors item.,"verbatim quote, max 60 words"
social_factors.section_located,stage3,item,Field inside each social_factors item.,abstract; introduction; methods; results; discussion; conclusion; table or figure; other; unclear
social_factors.evidence_basis,stage3,item,Field inside each social_factors item.,asserted; theorized; empirically_supported; empirically_contested; cited_from_other_work; clinical_observation; other; unclear
other_domain_factors,stage3,record,"Factors outside the triad: lifestyle, spiritual or existential, and environmental. Give factor_label, domain, factor_role, factor_verbatim, and section_located. Return an empty list when the paper stays inside the three domains, and use...","extraction list, max 6 items"
other_domain_factors.factor_label,stage3,item,Field inside each other_domain_factors item.,free_text
other_domain_factors.domain,stage3,item,Field inside each other_domain_factors item.,lifestyle; spiritual or existential; environmental; other
other_domain_factors.factor_role,stage3,item,Field inside each other_domain_factors item.,determinant or risk factor; protective factor; mediator; moderator; outcome; correlate; treatment target; intervention component; contextual condition; descriptive theme; other; unclear
other_domain_factors.factor_verbatim,stage3,item,Field inside each other_domain_factors item.,"verbatim quote, max 60 words"
other_domain_factors.section_located,stage3,item,Field inside each other_domain_factors item.,abstract; introduction; methods; results; discussion; conclusion; table or figure; other; unclear
psychological_concepts,stage3,record,"Every psychological construct the paper uses, one item each. Give concept_label (the paper's own term, always, at the resolution the paper uses it: 'fear of movement during lifting' is not the same item as 'kinesiophobia'), concept_famil...","extraction list, max 16 items"
psychological_concepts.concept_label,stage3,item,Field inside each psychological_concepts item.,free_text
psychological_concepts.concept_family,stage3,item,Field inside each psychological_concepts item.,free_text
psychological_concepts.definitional_status,stage3,item,Field inside each psychological_concepts item.,formally_defined; operationalized_only; described_informally; named_only; unclear
psychological_concepts.definition_verbatim,stage3,item,Field inside each psychological_concepts item.,"verbatim quote, max 60 words"
psychological_concepts.definition_source,stage3,item,Field inside each psychological_concepts item.,own definition; cited from other work; taken from an instrument; unattributed; unclear
psychological_concepts.measure_named,stage3,item,Field inside each psychological_concepts item.,free_text
psychological_concepts.factor_role,stage3,item,Field inside each psychological_concepts item.,determinant or risk factor; protective factor; mediator; moderator; outcome; correlate; treatment target; intervention component; contextual condition; descriptive theme; other; unclear
psychological_concepts.section_located,stage3,item,Field inside each psychological_concepts item.,abstract; introduction; methods; results; discussion; conclusion; table or figure; other; unclear
concept_relations,stage3,record,"Every relation the paper draws between two constructs, one item each. This is the hierarchical and semantic structure the registration asks for, and it is what turns a list of concepts into a map. Give source_concept, target_concept, rel...","extraction list, max 12 items"
concept_relations.source_concept,stage3,item,Field inside each concept_relations item.,free_text
concept_relations.target_concept,stage3,item,Field inside each concept_relations item.,free_text
concept_relations.relation_type,stage3,item,Field inside each concept_relations item.,is_a_subtype_of; part_of_or_component_of; synonym_or_used_interchangeably; overlapping_or_related; antecedent_or_cause_of; consequence_or_outcome_of; mediates; moderates; measured_by; contrasted_as_distinct_from; conflated_without_comment; other; unclear
concept_relations.explicitly_stated,stage3,item,Field inside each concept_relations item.,yes; no
concept_relations.relation_verbatim,stage3,item,Field inside each concept_relations item.,"verbatim quote, max 60 words"
concept_relations.section_located,stage3,item,Field inside each concept_relations item.,abstract; introduction; methods; results; discussion; conclusion; table or figure; other; unclear
integration_bio_psych,stage3,record,Integration between the biological and psychological domains.,mechanistic; directional; descriptive; mentioned; none
integration_psych_social,stage3,record,Integration between the psychological and social domains.,mechanistic; directional; descriptive; mentioned; none
integration_bio_social,stage3,record,Integration between the biological and social domains.,mechanistic; directional; descriptive; mentioned; none
integration_triadic,stage3,record,"Three-domain integration. 'mechanistic' when biological, psychological, and social factors act on one another as one system; 'descriptive' when all three are genuinely related in one account but no pathway is specified; 'partial' when tw...",mechanistic; descriptive; partial; none
integration_claims,stage3,record,"One item for every passage in which the paper relates two or three domains to each other. This is the evidence base for the four integration fields above, so a pairwise field coded above 'mentioned' should have at least one item behind i...","extraction list, max 12 items"
integration_claims.domains_linked,stage3,item,Field inside each integration_claims item.,bio_psych; psych_social; bio_social; triadic
integration_claims.integration_level,stage3,item,Field inside each integration_claims item.,mechanistic; directional; descriptive; mentioned; none
integration_claims.source_factor_label,stage3,item,Field inside each integration_claims item.,free_text
integration_claims.target_factor_label,stage3,item,Field inside each integration_claims item.,free_text
integration_claims.direction,stage3,item,Field inside each integration_claims item.,unidirectional; bidirectional or reciprocal; unspecified
integration_claims.mediator_or_moderator,stage3,item,Field inside each integration_claims item.,free_text
integration_claims.claim_verbatim,stage3,item,Field inside each integration_claims item.,"verbatim quote, max 60 words"
integration_claims.mechanism_note,stage3,item,Field inside each integration_claims item.,free_text
integration_claims.section_located,stage3,item,Field inside each integration_claims item.,abstract; introduction; methods; results; discussion; conclusion; table or figure; other; unclear
integration_claims.evidence_basis,stage3,item,Field inside each integration_claims item.,asserted; theorized; empirically_supported; empirically_contested; cited_from_other_work; clinical_observation; other; unclear
integration_mechanism_summary,stage3,record,"At most 90 words, in your own words: the cross-domain pathways this paper actually proposes. Write 'none proposed' when the paper proposes none.",free_text
overall_balance,stage3,record,"Relative emphasis across the three core domains, judged on how much of the paper each one occupies. 'balanced' means no domain clearly dominates; 'dyadic' means two domains carry the paper and the third is marginal; 'unclear' when the em...",balanced; psych-dominant; bio-dominant; social-dominant; dyadic; unclear
bps_typology,stage3,record,"What this review does with the biopsychosocial model at full-text depth. 'true_integrative': all three domains present and genuinely related, with at least a descriptive triadic account. 'multifactorial': all three domains substantively...",true_integrative; multifactorial; pseudo_bps; rhetorical_bps; narrow_despite_label; unclear
concept_definitions_present,stage3,record,Whether the review defines the psychological constructs it uses. 'yes' when the main constructs are defined or clearly operationalized; 'partial' when some are and others are only named; 'no' when constructs are used without any meaning...,yes; partial; no
theoretical_frameworks,stage3,record,"Every theoretical model or framework the paper invokes, one item each. Give framework_label (preferred labels below), role, domains_covered (which of biological, psychological, and social the model actually spans, as a list), attributed_...","extraction list, max 8 items"
theoretical_frameworks.framework_label,stage3,item,Field inside each theoretical_frameworks item.,free_text
theoretical_frameworks.role,stage3,item,Field inside each theoretical_frameworks item.,organizing framework; tested or modelled; extended or revised; critiqued or rejected; compared with another model; mentioned in passing; other; unclear
theoretical_frameworks.domains_covered,stage3,item,Field inside each theoretical_frameworks item.,list of short free-text labels
theoretical_frameworks.attributed_source,stage3,item,Field inside each theoretical_frameworks item.,free_text
theoretical_frameworks.framework_verbatim,stage3,item,Field inside each theoretical_frameworks item.,"verbatim quote, max 60 words"
theoretical_frameworks.section_located,stage3,item,Field inside each theoretical_frameworks item.,abstract; introduction; methods; results; discussion; conclusion; table or figure; other; unclear
instruments,stage3,record,"Every measurement or appraisal instrument named, one item each. Give instrument_label (preferred labels below), abbreviation, domain_measured, construct_measured_as_stated (what the paper says the instrument captures, in its own wording)...","extraction list, max 8 items"
instruments.instrument_label,stage3,item,Field inside each instruments item.,free_text
instruments.abbreviation,stage3,item,Field inside each instruments item.,free_text
instruments.domain_measured,stage3,item,Field inside each instruments item.,biological; psychological; social; pain or symptom; function or disability; quality of life; multiple domains; methodological quality; other; unclear
instruments.construct_measured_as_stated,stage3,item,Field inside each instruments item.,free_text
instruments.role,stage3,item,Field inside each instruments item.,primary outcome; secondary outcome; predictor or covariate; mediator or moderator; screening or classification; developed or validated here; discussed conceptually; critiqued; referenced only; other; unclear
instruments.instrument_verbatim,stage3,item,Field inside each instruments item.,"verbatim quote, max 60 words"
conceptual_problems,stage3,record,"Conceptual problems this paper names or displays, one item each. Give problem_type, problem_scope (what the problem is about), affected_labels (the constructs or terms it concerns, as a list), named_by_authors ('yes' when the paper itsel...","extraction list, max 8 items"
conceptual_problems.problem_type,stage3,item,Field inside each conceptual_problems item.,vague_definition; tokenistic_bps; missing_social; missing_biology; missing_psychology; mechanistic_absence; construct_overlap; parallel_listing_without_integration; measurement_mismatch; definitional_drift; domain_reductionism; unfalsifiable_or_untestable; other
conceptual_problems.problem_scope,stage3,item,Field inside each conceptual_problems item.,the biopsychosocial model itself; a psychological construct; a biological construct; a social construct; integration between domains; measurement; terminology; scope or coverage; other
conceptual_problems.affected_labels,stage3,item,Field inside each conceptual_problems item.,list of short free-text labels
conceptual_problems.named_by_authors,stage3,item,Field inside each conceptual_problems item.,yes; no
conceptual_problems.problem_verbatim,stage3,item,Field inside each conceptual_problems item.,"verbatim quote, max 60 words"
conceptual_problems.note,stage3,item,Field inside each conceptual_problems item.,free_text
key_quotes,stage3,record,"The most conceptually load-bearing passages in the paper: the ones a reviewer would want to read first when writing the synthesis. Prefer passages that stand on their own. Give claim_verbatim, claim_type, section_located, and why_it_matt...","extraction list, max 6 items"
key_quotes.claim_verbatim,stage3,item,Field inside each key_quotes item.,"verbatim quote, max 60 words"
key_quotes.claim_type,stage3,item,Field inside each key_quotes item.,definitional; integrative; operationalizing; critical or problematizing; measurement; theoretical; clinical or applied; other
key_quotes.section_located,stage3,item,Field inside each key_quotes item.,abstract; introduction; methods; results; discussion; conclusion; table or figure; other; unclear
key_quotes.why_it_matters,stage3,item,Field inside each key_quotes item.,free_text
emergent_labels,stage3,record,"Every conceptually important term this paper uses that the preferred vocabularies above do not contain: a factor, construct, mechanism, framework, instrument, or population label that has no good home on the spine. Write it exactly as th...","open list, max 12 entries"
conceptual_tensions,stage3,record,"Contradictions, ambiguities, unresolved debates, and gaps the paper names or displays, including tensions visible inside the paper itself. One tension per item, in free text.","open list, max 5 entries"
additional_observations,stage3,record,"Anything else conceptually relevant that no other field captures. One observation per item, as long as it needs to be. This field exists so that you never have to force an observation into a field where it does not belong, and so that th...","open list, max 6 entries"
synthesis_note,stage3,record,"At most 90 words: what this paper contributes to the question of how the biopsychosocial model is operationalized, and what it does not. Write for a reviewer who has not read the paper.",free_text
coding_rationale,stage3,record,"At most 40 words justifying the main judgements: the typology, the triadic integration level, and anything that was a close call.",free_text
fulltext_eligibility,stage3,derived,"Derived post-retrieval verdict. A recommendation for human adjudication, not a decision.",include; uncertain; exclude
fulltext_exclusion_reason,stage3,derived,"The rule that produced an exclude or uncertain verdict, in words. Empty for include.",free_text
conceptual_yield,stage3,derived,Derived measure of how much conceptual material the paper actually yielded.,high; moderate; low; minimal
synthesis_priority,stage3,derived,Derived reading order for the later synthesis.,core; supporting; background; not_relevant
derived_typology,stage3,derived,"The typology recomputed from coverage and integration by a fixed rule, for comparison with the coded bps_typology.",true_integrative; multifactorial; pseudo_bps; rhetorical_bps; narrow_despite_label
integration_index,stage3,derived,Derived index between 0 and 1 combining the three pairwise ladders and the triadic ladder.,numeric
n_subdomains_named,stage3,derived,"How many distinct ontology subdomains the coding touched, across the three domains.",numeric
n_named_integration_edges,stage3,derived,How many integration claims name both the source and the target factor.,numeric
controlled_label_share,stage3,derived,"Share of extracted items whose ontology anchor lands on the controlled spine. A measurement of the ontology against the literature, not of the coder.",numeric
presence flags,stage3,derived,"One yes or no per conceptual element, read off the coded content rather than asked.",yes; no
adjudication_status,stage3,derived,Human adjudication state of this coded row. Eligibility decisions remain human.,pending; agreed; adjudicated
