record_id,reference_label,stage3_candidate,fulltext_status,manual_relevance_priority,relevance_flags,osf_manual_adjudication_required,reviewer_decision,reviewer_notes,adjudication_decision,adjudication_notes
pubmed_24716562,"Pediatric IBS: an overview on pathophysiology, diagnosis and treatment.",yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_32010899,Group Psychotherapy With Fibromyalgia Patients: A Systematic Review.,yes,pmc_fulltext_low_content_manual_check,medium,chronicity_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_12720511,The management of persistent pain.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_28359011,Diagnostic triage for low back pain: a practical approach for primary care.,yes,manual_retrieval_required,medium,chronicity_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_2094850,A biopsychosocial approach to TMJ pain--or looking for keys in the dark.,yes,manual_retrieval_required,medium,chronicity_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_17149465,Back injuries--getting injured workers back to work.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_10711057,Care of the patient with chronic pain: Part I.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_11858295,Care of the patient with chronic pain: part II.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_8940956,Chronic pelvic pain.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_10635197,From bite to mind: TMD--a personal and literature review.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_9927896,Psychiatric problems in chronic facial pain.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_34793635,"Religious Beliefs and Attitudes in Relation to Pain, Pain-Related Beliefs,...",yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_8842824,The biopsychosocial disease consequence model in rehabilitation: model deve...,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
