record_id,model_order,model_label,provider,model_id,review_type,objective_category,objective_category_source,icd11_pain_category,musculoskeletal_flag,bps_function,bio_mentioned,psych_mentioned,social_mentioned,quality_assessment_reported,psychological_concepts_detected,theoretical_frameworks_detected,conceptual_problem_flags,provisional_typology,stage3_candidate,stage3_priority,coding_rationale,coding_method,llm_model
A011_41591584,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,stress | cognition | affect | behavior | emotional distress | cognitive-behavioral treatment,biopsychosocial model | neuromatrix theory,none,potential integrative signal,yes,medium,All three domains substantively present; BPS as explanatory framework with cross-domain integration; neuromatrix theory cited; no conceptual problems; broad chronic pain focus.,llm_structured,deepseek/deepseek-v4-flash
A012_41519680,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,clinical,llm_structured,chronic secondary visceral pain,no,background framing,no,yes,yes,no,implicit bias | stigma | provider attitudes | labeling | psychosocial functioning,biopsychosocial model,missing_biology | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,no,low,"BPS used as background framing; biological domain absent despite BPS language; psychological and social present; sickle cell pain is visceral, not musculoskeletal.",llm_structured,deepseek/deepseek-v4-flash
A013_41492309,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,systematic review,mixed,llm_structured,chronic postsurgical or posttraumatic pain,yes,organizing principle,yes,yes,yes,yes,catastrophizing | depression | anxiety | depressive symptoms | pain catastrophizing,biopsychosocial model,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,All three domains substantively present but treated as parallel risk factors without integration; BPS used as organizing principle for predictors; musculoskeletal focus.,llm_structured,deepseek/deepseek-v4-flash
A014_41456977,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,integrative review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,stress | psychological disturbances | stress response | cognitive impairment,biopsychosocial model | whittemore and knafl framework,none,potential integrative signal,yes,medium,"Integrative review of BPS factors linking chronic pain and cognitive impairment. All domains substantively present with cross-domain pathways. Mixed chronic pain, musculoskeletal relevance unclear.",llm_structured,deepseek/deepseek-v4-flash
A015_41371390,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,conceptual,llm_structured,chronic secondary musculoskeletal pain,yes,explanatory framework,yes,no,no,no,stress,biopsychosocial model,missing_social,pseudo-bps or partial signal,yes,high,Narrative review proposing BPS OA model. Biological content rich; psychological and social domains absent. Missing social leads to pseudo-bps typology. Musculoskeletal relevance clear.,llm_structured,deepseek/deepseek-v4-flash
A016_41271285,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,organizing principle,no,no,yes,no,,biopsychosocial model,missing_biology | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"BPS as organizing principle but only social domain substantive; bio and psych absent. Partial signal, low priority.",llm_structured,deepseek/deepseek-v4-flash
A017_41271276,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,unclear,yes,yes,yes,no,,geriatric 5ms,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,medium,"BPS not named; 5Ms framework covers bio, psych, social domains in parallel. Mixed chronic pain in older adults, musculoskeletal relevance unclear.",llm_structured,deepseek/deepseek-v4-flash
A018_41271275,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,rhetorical label,no,no,no,no,,biopsychosocial model,tokenistic_bps | missing_social | missing_biology | vague_definition,rhetorical label signal,yes,medium,BPS invoked as principle without substantive domain content; narrative review of geriatric pain management; not a systematic review of musculoskeletal pain.,llm_structured,deepseek/deepseek-v4-flash
A019_41058307,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,umbrella review,clinical,llm_structured,chronic secondary headache or orofacial pain,yes,background framing,yes,yes,no,yes,behavioural therapy | patient education,biopsychosocial,missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,high,BPS mentioned as background; social content absent; psychological via behavioural therapy; biological via anatomy; missing social leads to pseudo-bps signal.,llm_structured,deepseek/deepseek-v4-flash
A020_40748548,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,no,yes,no,no,stress | cognitive interventions | hypnosis | meditation | motivational interviewing,biopsychosocial model | motivational interviewing,missing_biology | missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,BPS used as intervention rationale for hypnosis psychotherapy; lacks biological and social content despite BPS label; modules listed parallel without integration.,llm_structured,deepseek/deepseek-v4-flash
A021_40089399,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,conceptual,llm_structured,chronic postsurgical or posttraumatic pain,unclear,background framing,yes,yes,no,no,stress | distress,,missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,Narrative review on CPSP definition uses BPS as background framing. Social domain missing despite BPS label; biological and psychological present but listed in parallel. Thus pseudo-bps/partial signal.,llm_structured,deepseek/deepseek-v4-flash
A022_39564413,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,systematic review,clinical,llm_structured,chronic postsurgical or posttraumatic pain,yes,intervention rationale,no,yes,no,yes,catastrophizing | fear-avoidance | kinesiophobia | pain catastrophizing | cognitive-behavioral therapy | relaxation | mindfulness | psychoeducation | meditation | mind-body therapies,cognitive-behavioral therapy | biopsychosocial model,tokenistic_bps | missing_biology | missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,high,BPS listed as intervention type but only psychosocial domain substantively covered; biological and social absent. Quality assessment reported. Musculoskeletal post-surgical pain focus.,llm_structured,deepseek/deepseek-v4-flash
A023_41676335,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,mixed,llm_structured,mixed or unspecified chronic pain,yes,explanatory framework,yes,yes,yes,no,stress,biopsychosocial model,none,potential integrative signal,yes,high,Narrative review applying BPS to chronic pain in TGD youth; all three domains substantively present; signals integration but lacks detailed mechanisms; relevant to musculoskeletal pain.,llm_structured,deepseek/deepseek-v4-flash
A024_41554075,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,coping | stress | emotional dysregulation | maladaptive coping | emotional awareness | pain perception,biopsychosocial model,none,potential integrative signal,yes,medium,"Narrative review on ACEs and chronic pain. All three domains present: neurobiology, emotional dysregulation, social adversity. BPS used as explanatory framework for interactions, suggesting integrative signal.",llm_structured,deepseek/deepseek-v4-flash
A025_41518191,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,mixed,llm_structured,mixed or unspecified chronic pain,unclear,organizing principle,yes,yes,yes,no,emotion | cognition,biopsychosocial model,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,medium,All three domains present but parallel; BPS as organizing principle for multimodal care; mixed objective; narrative review; unclear musculoskeletal relevance.,llm_structured,deepseek/deepseek-v4-flash
A026_41517319,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,rapid review,clinical,llm_structured,chronic primary pain,no,explanatory framework,yes,yes,yes,yes,depression | anxiety | sexual dysfunction,biopsychosocial,none,multifactorial signal,no,low,"All three domains substantively present, BPS as explanatory framework. Domains treated in parallel, not integrative. Not musculoskeletal. MMAT used.",llm_structured,deepseek/deepseek-v4-flash
A027_41436105,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,conceptual,llm_structured,chronic secondary headache or orofacial pain,yes,explanatory framework,yes,yes,yes,no,,theory of pain-sensorimotor interactions,none,multifactorial signal,yes,high,"Orofacial pain review applying TOPSMI; all three BPS domains substantively present as influencing factors, treated in parallel; narrative review.",llm_structured,deepseek/deepseek-v4-flash
A028_41412623,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,systematic review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,background framing,no,yes,no,yes,mental health,biopsychosocial model,vague_definition | missing_social | missing_biology | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,BPS mentioned as background for composite outcomes; only mental health covered; social and biology absent; partial use.,llm_structured,deepseek/deepseek-v4-flash
A029_41409397,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,yes,explanatory framework,yes,yes,no,no,catastrophizing | flow | absorption | attention | hypervigilance | mindfulness | dispositional flow | pain interference | intrinsic reward,biopsychosocial model | flow theory | descending pain modulation | default mode network,missing_social,pseudo-bps or partial signal,yes,high,"BPS as explanatory framework; bio and psych present but social absent; pseudo-bps signal. Mixed chronic pain, musculoskeletal relevance plausible. Conceptual review with structured search.",llm_structured,deepseek/deepseek-v4-flash
A030_41396232,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,clinical,llm_structured,chronic cancer-related pain,no,organizing principle,yes,yes,no,no,hypnosis,,missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,no,low,"Abstract uses BPS for assessment but lacks social content. Only hypnosis and biofeedback mentioned. Cancer-related pain, not musculoskeletal. BPS as organizing principle for assessment.",llm_structured,deepseek/deepseek-v4-flash
A031_41390944,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,clinical,llm_structured,chronic primary pain,yes,unclear,yes,no,no,no,stress | distress,,tokenistic_bps | vague_definition | missing_social,rhetorical label signal,yes,high,"Abstract focuses on pharmacological treatment of fibromyalgia; no BPS mention. Biological content present, psychological and social absent. BPS not used, hence rhetorical label.",llm_structured,deepseek/deepseek-v4-flash
A032_41356326,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,meta-analysis,clinical,llm_structured,chronic primary pain,yes,policy/practice implication,yes,yes,no,no,catastrophizing | fear-avoidance | fear-avoidance beliefs | pain catastrophizing,biopsychosocial model,missing_social | tokenistic_bps,pseudo-bps or partial signal,yes,high,BPS used as concluding implication; social domain absent; biological and psychological content present; qualifies as pseudo-bps partial signal due to missing social domain.,llm_structured,deepseek/deepseek-v4-flash
A033_41324834,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,no,no,yes,no,stress,biopsychosocial model | minority stress | ecological-systems | intersectional perspectives,missing_biology,pseudo-bps or partial signal,yes,medium,"Narrative review expanding BPS with minority stress; lacks substantive biological and psychological content; social domain present. Typology: pseudo-bps due to missing domains. Mixed chronic pain, candidate for musculoskeletal review.",llm_structured,deepseek/deepseek-v4-flash
A034_41268985,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,scoping or mapping review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,background framing,no,yes,no,no,coping | meaningfulness | self-identity | life satisfaction | spirituality | cognitive-behavioral therapy,existential therapy | humanistic therapy | biopsychosocial model | cognitive-behavioral therapy,tokenistic_bps | missing_biology | missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,BPS only background; no bio or social; psychological domain only. Scoping review on existential therapy. Typology: pseudo-bps signal.,llm_structured,deepseek/deepseek-v4-flash
A035_41221343,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,conceptual,llm_structured,chronic secondary musculoskeletal pain,yes,unclear,yes,no,no,yes,,integrated hypothesis | central sensitization model | integrative model,missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,high,Narrative review on myofascial pain mechanisms. Biological domain substantive; psychological and social only mentioned as 'psychosocial influences' without elaboration. BPS not explicitly used; partial signal.,llm_structured,deepseek/deepseek-v4-flash
A036_41188763,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,conceptual,llm_structured,chronic primary pain,yes,explanatory framework,yes,yes,yes,no,cognitive-affective | behavioral | pain sensitivity,biopsychosocial model,none,potential integrative signal,yes,high,"Review proposes developmental BPS model for sex differences in primary pain, integrating biological, psychological, and sociocultural factors. All domains substantive, cross-domain explanation, no clear conceptual problems. High priority for full-text coding.",llm_structured,deepseek/deepseek-v4-flash
A037_41176184,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,systematic review,clinical,llm_structured,chronic primary pain,yes,background framing,no,yes,no,yes,coping | depression | anxiety | acceptance | coping strategies,,tokenistic_bps | missing_social | parallel_listing_without_integration | mechanistic_absence | missing_biology,pseudo-bps or partial signal,yes,high,BPS used as background framing; social domain absent; psychological content present; fibromyalgia considered musculoskeletal; tokenistic BPS label.,llm_structured,deepseek/deepseek-v4-flash
A038_41153503,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,systematic review,mixed,llm_structured,chronic cancer-related pain,no,background framing,no,yes,no,no,depression | anxiety,,missing_social | tokenistic_bps | parallel_listing_without_integration | mechanistic_absence | missing_biology,pseudo-bps or partial signal,no,low,Cancer-related pain review; BPS term used only for comorbidities; social domain missing; BPS use is tokenistic.,llm_structured,deepseek/deepseek-v4-flash
A039_41153499,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,systematic review,clinical,llm_structured,mixed or unspecified chronic pain,yes,conclusion,no,yes,yes,yes,coping | self-efficacy | pain knowledge | emotional outcomes,,tokenistic_bps | vague_definition | missing_biology,rhetorical label signal,yes,high,"BPS appears only in the conclusion as a suggestion for integration; no substantive BPS framework in the review. Psychological and social content present, but biology absent. Tokenistic use of BPS label.",llm_structured,deepseek/deepseek-v4-flash
A040_41146083,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,scoping or mapping review,conceptual,llm_structured,chronic primary pain,yes,explanatory framework,no,no,yes,no,coping,biopsychosocial model,missing_biology,pseudo-bps or partial signal,yes,high,Scoping review on social factors in CLBP. BPS used as explanatory framework but only social domain substantively covered. Bio and psych absent. Typology: pseudo-bps partial signal.,llm_structured,deepseek/deepseek-v4-flash
A041_41136126,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,mixed,llm_structured,mixed or unspecified chronic pain,unclear,conclusion,yes,yes,yes,no,coping | fear of pain | avoidance behavior | cognitive behavioral therapy | emotional factors,biopsychosocial model,parallel_listing_without_integration,multifactorial signal,yes,medium,All three domains present but social not integrated into BPS approach; domains listed in parallel; BPS used as conclusion. Narrative review of psychological aspects of chronic pain.,llm_structured,deepseek/deepseek-v4-flash
A042_41134173,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,clinical,llm_structured,chronic secondary visceral pain,no,background framing,yes,yes,no,no,,biopsychosocial model,missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,no,low,BPS used as background framing; biological and psychological present but social absent; narrative review of clinical management.,llm_structured,deepseek/deepseek-v4-flash
A043_41134055,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,background framing,yes,no,no,no,,biopsychosocial model,tokenistic_bps | missing_social | vague_definition,rhetorical label signal,yes,high,"BPS mentioned as background framing but not used analytically. Biological content present (zygapophysial joint). Missing psychological and social domains. Tokenistic use. Narrative review, low priority for full-text.",llm_structured,deepseek/deepseek-v4-flash
A044_41105043,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,background framing,yes,no,no,no,,,tokenistic_bps | missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,BPS mentioned as background but only biology substantively covered. Psychological and social domains absent. Tokenistic use of BPS label. Narrative review of neurobiology; not specific to musculoskeletal.,llm_structured,deepseek/deepseek-v4-flash
A045_41086339,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,background framing,yes,yes,yes,no,emotional | cognitive,,none,potential integrative signal,yes,medium,All three domains substantively present; BPS used as background framing for an integrative biomarker framework. Musculoskeletal relevance unclear but possible.,llm_structured,deepseek/deepseek-v4-flash
A046_41086338,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,,,none,potential integrative signal,yes,medium,"All three domains substantively present; BPS used as explanatory framework for integration. Mixed chronic pain, musculoskeletal relevance unclear but not ruled out.",llm_structured,deepseek/deepseek-v4-flash
A047_40868970,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,yes,explanatory framework,yes,yes,no,no,depression | anxiety | ptsd | dissociative symptoms | emotional dysregulation | personality vulnerabilities | cognitive self-monitoring | internalizing symptoms,biopsychosocial model,missing_social,pseudo-bps or partial signal,yes,high,Social domain missing despite BPS label; biological and psychological substantive. BPS used as explanatory framework in conclusion. Relevance to musculoskeletal via fibromyalgia and chronic pain.,llm_structured,deepseek/deepseek-v4-flash
A048_40839219,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,mixed,llm_structured,mixed or unspecified chronic pain,yes,explanatory framework,yes,yes,yes,no,depression | anxiety | stress | emotional distress | dysfunctional behavioral responses,biopsychosocial model | transdiagnostic approach,none,potential integrative signal,yes,high,"All three domains substantively present. BPS used as explanatory framework for transdiagnostic mechanisms, suggesting integration. Narrative review, so priority medium.",llm_structured,deepseek/deepseek-v4-flash
A049_40756887,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,conceptual,llm_structured,chronic secondary headache or orofacial pain,yes,explanatory framework,yes,no,no,no,,biopsychosocial model,tokenistic_bps | missing_social,pseudo-bps or partial signal,yes,high,BPS invoked but only biological domain substantively covered; psychological and social absent. Tokenistic use. Narrative review on TMD.,llm_structured,deepseek/deepseek-v4-flash
A050_40731802,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,mixed,llm_structured,mixed or unspecified chronic pain,unclear,organizing principle,yes,yes,yes,no,depression | anxiety | stress,biopsychosocial model | precision medicine,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,medium,"Multifactorial signal: all three domains substantively present but treated in parallel. BPS used as organizing principle and concluding recommendation. No integration. Mixed chronic pain, narrative review, no quality assessment.",llm_structured,deepseek/deepseek-v4-flash
A051_40684669,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,systematic review,clinical,llm_structured,chronic primary pain,yes,conclusion,no,yes,no,unclear,stress | ptsd | trauma | psychological factors,biopsychosocial model,tokenistic_bps | vague_definition | missing_biology | missing_social,rhetorical label signal,yes,high,"BPS used only as concluding recommendation; psychological domain present (PTSD), biological and social absent; tokenistic use.",llm_structured,deepseek/deepseek-v4-flash
A052_40675666,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,yes,intervention rationale,no,no,no,no,,biopsychosocial model,tokenistic_bps | vague_definition | missing_biology | missing_social,rhetorical label signal,yes,high,"Abstract uses BPS label to justify integrated care but provides no substantive bio, psycho, or social content. Rhetorical label signal. Tokenistic use.",llm_structured,deepseek/deepseek-v4-flash
A053_40675665,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,clinical,llm_structured,chronic primary pain,yes,intervention rationale,yes,no,no,no,,biopsychosocial model,tokenistic_bps | missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,high,BPS as intervention rationale for multimodal therapy; only biological domain substantive; missing psychological and social content; pseudo-bps signal.,llm_structured,deepseek/deepseek-v4-flash
A054_40624502,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,systematic review,conceptual,llm_structured,mixed or unspecified chronic pain,yes,background framing,no,no,yes,yes,,biopsychosocial model,tokenistic_bps | vague_definition | missing_biology,rhetorical label signal,yes,high,BPS used as background to justify social focus; review itself does not operationalize BPS. Social domain substantive; bio/psych absent. Rhetorical label signal. Musculoskeletal relevance via low back pain.,llm_structured,deepseek/deepseek-v4-flash
A055_40589056,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,mixed,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,no,yes,yes,no,stress | ptsd | cbt,biopsychosocial model,missing_biology | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"Bio content minimal; psych and social present. BPS used as intervention rationale, but missing biology makes it partial. Relevant to musculoskeletal due to polytrauma.",llm_structured,deepseek/deepseek-v4-flash
A056_40581443,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,no,no,yes,no,stress,,parallel_listing_without_integration | mechanistic_absence | missing_biology,pseudo-bps or partial signal,yes,medium,Abstract uses BPS as intervention rationale but lacks substantive bio and psych content. Social content thin. Typology: pseudo-bps due to partial domain presence.,llm_structured,deepseek/deepseek-v4-flash
A057_40566105,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,pain beliefs | readiness-to-change,general systems theory | ecological systems theory | biopsychosocial model,none,potential integrative signal,yes,medium,"BPS as explanatory framework integrating biological (neuroplasticity), psychological (pain beliefs), and social (ethnic disparities). All three domains substantive. Cross-domain explanation attempted.",llm_structured,deepseek/deepseek-v4-flash
