record_id,pmid,pmcid,doi,title,journal,year,icd11_pain_category,musculoskeletal_flag,review_type,provisional_typology,conceptual_problem_flags,psychological_concepts_detected,theoretical_frameworks_detected,stage3_priority,coding_rationale,fulltext_status,retrieval_source,fulltext_word_count,fulltext_checked_utc,manual_retrieval_needed,manual_relevance_priority,manual_relevance_flags,osf_manual_adjudication_required,pubmed_url,cached_xml_path,cached_text_path
pubmed_29460009,29460009.0,,10.1007/s00586-017-5433-8,The Global Spine Care Initiative: applying evidence-based guidelines on the non-invasive management of back and neck pain to low- and middle-income communities.,"European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society",2018.0,chronic secondary musculoskeletal pain,yes,systematic review,potential integrative signal,none,depression,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/29460009.0/,,
pubmed_28359011,28359011.0,,10.5694/mja16.00828,Diagnostic triage for low back pain: a practical approach for primary care.,The Medical journal of Australia,2017.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,pseudo-bps or partial signal,vague_definition | parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/28359011.0/,,
pubmed_28371175,28371175.0,,10.1002/msc.1191,Exercise for chronic musculoskeletal pain: A biopsychosocial approach.,Musculoskeletal care,2017.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,potential integrative signal,none,catastrophizing | anxiety,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/28371175.0/,,
pubmed_26148424,26148424.0,,10.1111/ajd.12365,Current concepts in vulvodynia with a focus on pathogenesis and pain mechanisms.,The Australasian journal of dermatology,2016.0,chronic primary pain,yes,narrative or expert review,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,depression | anxiety,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/26148424.0/,,
pubmed_25953594,25953594.0,,10.2522/ptj.20140575,Addressing Neuroplastic Changes in Distributed Areas of the Nervous System Associated With Chronic Musculoskeletal Disorders.,Physical therapy,2015.0,chronic secondary musculoskeletal pain,yes,systematic review,potential integrative signal,none,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/25953594.0/,,
pubmed_26600874,26600874.0,PMC4643870,10.1177/1756285615605699,An update on the management of post-traumatic headache.,Therapeutic advances in neurological disorders,2015.0,chronic postsurgical or posttraumatic pain,yes,narrative or expert review,pseudo-bps or partial signal,parallel_listing_without_integration | mechanistic_absence | missing_biology,anxiety,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_low_content_manual_check,stage2_existing_pmcid,8,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/26600874.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC4643870.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC4643870.txt
pubmed_22435173,22435173.0,,10.1179/crn.2012.003,"A critical review of Dr. Charles S. Greene's article titled ""Managing the Care of Patients with Temporomandibular Disorders: a new Guideline for Care"" and a revision of the American Association for Dental Research's 1996 policy statement on temporomandibular disorders, approved by the AADR Council in March 2010, published in the Journal of the American Dental Association September 2010.",Cranio : the journal of craniomandibular practice,2012.0,chronic secondary headache or orofacial pain,yes,meta-analysis,rhetorical label signal,tokenistic_bps | vague_definition,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/22435173.0/,,
pubmed_22814445,22814445.0,,10.1016/j.ptsp.2011.12.001,A neuroscience approach to managing athletes with low back pain.,Physical therapy in sport : official journal of the Association of Chartered Physiotherapists in Sports Medicine,2012.0,chronic secondary musculoskeletal pain,yes,systematic review,potential integrative signal,none,pain experience,neuroscience,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/22814445.0/,,
pubmed_23218435,23218435.0,,10.1016/j.berh.2012.08.004,Improving work participation for adults with musculoskeletal conditions.,Best practice & research. Clinical rheumatology,2012.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/23218435.0/,,
pubmed_21373784,21373784.0,,10.1007/s00296-011-1839-5,Joint hypermobility syndrome: problems that require psychological intervention.,Rheumatology international,2011.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,depression | anxiety | stress,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/21373784.0/,,
pubmed_19160209,19160209.0,PMC10734264,10.1002/14651858.CD002269.pub2,WITHDRAWN: Biopsychosocial rehabilitation for upper limb repetitive strain injuries in working age adults.,The Cochrane database of systematic reviews,2009.0,chronic secondary musculoskeletal pain,yes,systematic review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_low_content_manual_check,stage2_existing_pmcid,12,2026-04-07T20:02:14+00:00,yes,high,withdrawn_or_retracted_signal | chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/19160209.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10734264.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10734264.txt
pubmed_17350550,17350550.0,,10.1016/j.berh.2006.10.001,Management of musculoskeletal pain.,Best practice & research. Clinical rheumatology,2007.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,multifactorial signal,none,depression,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/17350550.0/,,
pubmed_17420400,17420400.0,,10.1212/01.wnl.0000259085.61898.9e,The impact of neuropathic pain on health-related quality of life: review and implications.,Neurology,2007.0,chronic secondary musculoskeletal pain,yes,meta-analysis,pseudo-bps or partial signal,parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/17420400.0/,,
pubmed_17149465,17149465.0,,,Back injuries--getting injured workers back to work.,Australian family physician,2006.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,potential integrative signal,missing_biology,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/17149465.0/,,
pubmed_16968689,16968689.0,,10.1093/bmb/ldl008,Preventing incapacity in people with musculoskeletal disorders.,British medical bulletin,2006.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,potential integrative signal,none,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,high,pain_focus_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/16968689.0/,,
pubmed_12948346,12948346.0,,10.1016/s1047-9651(03)00034-2,Psychosocial therapies for neck pain.,Physical medicine and rehabilitation clinics of North America,2003.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,potential integrative signal,missing_biology,stress | cognitive-behavioral therapy | pain-related thoughts | emotions,medical model,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/12948346.0/,,
pubmed_12720511,12720511.0,,10.5694/j.1326-5377.2003.tb05287.x,The management of persistent pain.,The Medical journal of Australia,2003.0,mixed or unspecified chronic pain,yes,narrative or expert review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/12720511.0/,,
pubmed_11762878,11762878.0,,10.1080/09638280110061744,Determinants of chronic disability related to low back pain: towards an integrative biopsychosocial model.,Disability and rehabilitation,2001.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,potential integrative signal,none,coping | stress,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/11762878.0/,,
pubmed_10908542,10908542.0,,10.1002/14651858.CD002269,Biopsychosocial rehabilitation for upper limb repetitive strain injuries in working age adults.,The Cochrane database of systematic reviews,2000.0,chronic secondary musculoskeletal pain,yes,systematic review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/10908542.0/,,
pubmed_11092802,11092802.0,,10.1053/berh.2000.0113,The biopsychosocial model--a tool for rheumatologists.,Bailliere's best practice & research. Clinical rheumatology,2000.0,mixed or unspecified chronic pain,yes,narrative or expert review,potential integrative signal,missing_biology,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,high,pain_focus_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/11092802.0/,,
pubmed_8940956,8940956.0,,,Chronic pelvic pain.,American family physician,1996.0,chronic secondary visceral pain,yes,narrative or expert review,potential integrative signal,none,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/8940956.0/,,
pubmed_8842824,8842824.0,,,The biopsychosocial disease consequence model in rehabilitation: model development in the Finnish 'work hardening' programme for chronic pain.,International journal of rehabilitation research. Internationale Zeitschrift fur Rehabilitationsforschung. Revue internationale de recherches de readaptation,1996.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,potential integrative signal,missing_biology,functioning,biopsychosocial disease consequence model,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/8842824.0/,,
pubmed_7866373,7866373.0,,10.1007/BF00433377,Pain and suffering: what is the unit?,"Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation",1994.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,multifactorial signal,missing_biology,anxiety,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/7866373.0/,,
pubmed_1477890,1477890.0,,10.1016/s0950-3579(05)80126-8,Biopsychosocial analysis of low back pain.,Bailliere's clinical rheumatology,1992.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,pseudo-bps or partial signal,vague_definition | parallel_listing_without_integration | mechanistic_absence | missing_biology,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/1477890.0/,,
pubmed_2094850,2094850.0,,,A biopsychosocial approach to TMJ pain--or looking for keys in the dark.,Proceedings of the Finnish Dental Society. Suomen Hammaslaakariseuran toimituksia,1990.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,potential integrative signal,none,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/2094850.0/,,
pubmed_37575343,37575343.0,PMC10415055,10.1055/s-0043-1770715,Evaluation and Medical Management of Chronic Pelvic Pain.,Seminars in interventional radiology,2023.0,chronic secondary visceral pain,no,systematic review,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence | missing_biology,,,low,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_low_content_manual_check,stage2_existing_pmcid,8,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/37575343.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10415055.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10415055.txt
pubmed_30520741,30520741.0,,10.1097/ACO.0000000000000675,Pain therapy for the elderly patient: is opioid-free an option?,Current opinion in anaesthesiology,2019.0,mixed or unspecified chronic pain,no,narrative or expert review,rhetorical label signal,tokenistic_bps | vague_definition,,,low,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/30520741.0/,,
pubmed_27351769,27351769.0,,10.1080/09593985.2016.1194651,Clinical biopsychosocial physiotherapy assessment of patients with chronic pain: The first step in pain neuroscience education.,Physiotherapy theory and practice,2016.0,mixed or unspecified chronic pain,no,narrative or expert review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,low,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/27351769.0/,,
pubmed_23314014,23314014.0,,10.1097/SPC.0b013e32835d7ed2,Evidence-based approach to manage persistent wound-related pain.,Current opinion in supportive and palliative care,2013.0,mixed or unspecified chronic pain,no,narrative or expert review,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,depression,,low,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/23314014.0/,,
pubmed_41271285,41271285.0,,10.1016/j.cger.2025.08.005,Dual Experience and Management of Pain in Older Adults and Their Caregivers.,Clinics in geriatric medicine,2026.0,mixed or unspecified chronic pain,unclear,narrative or expert review,potential integrative signal,missing_biology,,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/41271285.0/,,
pubmed_36706441,36706441.0,PMC10398738,10.1089/jpm.2022.0571,Top Ten Tips Palliative Care Clinicians Should Know About Behavioral Pain Management for Persistent Pain.,Journal of palliative medicine,2023.0,mixed or unspecified chronic pain,unclear,narrative or expert review,potential integrative signal,missing_biology,,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_low_content_manual_check,stage2_existing_pmcid,15,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/36706441.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10398738.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10398738.txt
pubmed_35434749,35434749.0,,10.1007/164_2022_587,Toll-Like Receptor 4 in Pain: Bridging Molecules-to-Cells-to-Systems.,Handbook of experimental pharmacology,2022.0,mixed or unspecified chronic pain,unclear,narrative or expert review,rhetorical label signal,tokenistic_bps | vague_definition,,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/35434749.0/,,
pubmed_33563380,33563380.0,,10.1016/j.anclin.2020.11.004,"Pain Management in Neurosurgery: Back and Lower Extremity Pain, Trigeminal Neuralgia.",Anesthesiology clinics,2021.0,mixed or unspecified chronic pain,unclear,narrative or expert review,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/33563380.0/,,
pubmed_28947182,28947182.0,,10.1016/j.pnpbp.2017.09.022,"Pain, aging and dementia: Towards a biopsychosocial model.",Progress in neuro-psychopharmacology & biological psychiatry,2018.0,mixed or unspecified chronic pain,unclear,systematic review,pseudo-bps or partial signal,missing_social,depression,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/28947182.0/,,
pubmed_26614718,26614718.0,,10.1016/j.mcna.2015.08.007,Biopsychosocial Approach to Assessing and Managing Patients with Chronic Pain.,The Medical clinics of North America,2016.0,mixed or unspecified chronic pain,unclear,narrative or expert review,rhetorical label signal,vague_definition | tokenistic_bps | missing_biology,depression,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/26614718.0/,,
pubmed_26889614,26889614.0,,10.1097/AJP.0000000000000342,Chronic Pain Following Motor Vehicle Collision: A Systematic Review of Outcomes Associated With Seeking or Receiving Compensation.,The Clinical journal of pain,2016.0,chronic postsurgical or posttraumatic pain,unclear,systematic review,potential integrative signal,missing_biology,,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/26889614.0/,,
pubmed_26614715,26614715.0,,10.1016/j.mcna.2015.09.005,"Chronic Pain Management: An Overview of Taxonomy, Conditions Commonly Encountered, and Assessment.",The Medical clinics of North America,2016.0,mixed or unspecified chronic pain,unclear,narrative or expert review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,psychological impact,central sensitization,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/26614715.0/,,
pubmed_27344405,27344405.0,,10.1016/j.mayocp.2016.04.029,"Chronic Pain and Mental Health Disorders: Shared Neural Mechanisms, Epidemiology, and Treatment.",Mayo Clinic proceedings,2016.0,mixed or unspecified chronic pain,unclear,narrative or expert review,potential integrative signal,none,fear-avoidance | depression | anxiety | acceptance | substance use | suicide,fear-avoidance model,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/27344405.0/,,
pubmed_27325001,27325001.0,,10.1016/j.nec.2016.02.012,Chronic/Persistent Idiopathic Facial Pain.,Neurosurgery clinics of North America,2016.0,chronic secondary headache or orofacial pain,unclear,systematic review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence | missing_biology,depression,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/27325001.0/,,
pubmed_27246519,27246519.0,,10.1016/j.neubiorev.2016.05.033,Reward deficiency and anti-reward in pain chronification.,Neuroscience and biobehavioral reviews,2016.0,mixed or unspecified chronic pain,unclear,systematic review,potential integrative signal,none,depression | anxiety | stress,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/27246519.0/,,
pubmed_26096090,26096090.0,,10.1016/j.berh.2015.04.005,How to investigate: Chronic pain.,Best practice & research. Clinical rheumatology,2014.0,mixed or unspecified chronic pain,unclear,narrative or expert review,rhetorical label signal,tokenistic_bps | vague_definition | missing_biology,,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/26096090.0/,,
pubmed_24716562,24716562.0,,10.3928/00904481-20140325-08,"Pediatric IBS: an overview on pathophysiology, diagnosis and treatment.",Pediatric annals,2014.0,chronic secondary visceral pain,unclear,narrative or expert review,potential integrative signal,none,coping,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/24716562.0/,,
pubmed_22406986,22406986.0,,10.1097/SPC.0b013e328352124f,Medically unexplained symptoms and pain: misunderstanding and myth.,Current opinion in supportive and palliative care,2012.0,mixed or unspecified chronic pain,unclear,narrative or expert review,potential integrative signal,none,depression | stress,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/22406986.0/,,
pubmed_20425201,20425201.0,,10.1007/s11916-010-0103-0,"Unravelling the mystery of pain, suffering, and relief with brain imaging.",Current pain and headache reports,2010.0,mixed or unspecified chronic pain,unclear,narrative or expert review,pseudo-bps or partial signal,missing_social,,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/20425201.0/,,
