record_id,pmid,pmcid,doi,title,journal,year,stage3_candidate,stage3_priority,candidate_consensus_depth,musculoskeletal_flag,icd11_pain_category,provisional_typology,bio_mentioned,psych_mentioned,social_mentioned,n_domains_consensus
A043_41134055,41134055,PMC12674287,10.1080/17581869.2025.2579000,Interventional pain management focused on zygapophysial joint pain: current landscape and future perspectives.,Pain management,2025,yes,high,3,yes,chronic secondary musculoskeletal pain,rhetorical label signal,yes,no,no,1
A046_41086338,41086338,,10.1097/j.pain.0000000000003635,"Integrated biopsychosocial signatures: moving beyond isolated biomarkers to predict, prevent, and treat persistent pain.",Pain,2025,yes,high,3,yes,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A048_40839219,40839219,,10.1007/s00482-025-00898-2,"[Comorbidity of chronic pain and fatigue : Common mechanisms, common treatment steps?].","Schmerz (Berlin, Germany)",2025,yes,high,3,yes,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A049_40756887,40756887,PMC12315194,10.1080/03036758.2025.2520387,Distinguishing chronic pain from mechanical factors in chronic TMD: a narrative review.,Journal of the Royal Society of New Zealand,2025,yes,high,3,yes,chronic secondary headache or orofacial pain,pseudo-bps or partial signal,yes,no,no,1
A051_40684669,40684669,,10.1016/j.psychres.2025.116635,Fibromyalgia and post-traumatic stress disorder: A systematic review.,Psychiatry research,2025,yes,high,3,yes,chronic primary pain,pseudo-bps or partial signal,no,yes,no,1
A054_40624502,40624502,PMC12235893,10.1186/s12939-025-02560-w,Social dimensions as explanatory approaches for the development of chronic pain: a meta-ethnography of qualitative studies.,International journal for equity in health,2025,yes,high,3,yes,mixed or unspecified chronic pain,pseudo-bps or partial signal,no,no,yes,1
A064_40470451,40470451,PMC12136237,10.7759/cureus.83524,Osteopathic Manipulative Treatment for Chronic Low Back Pain and Musculoskeletal Pain in Remote Underserved Populations: A Systematic Literature Review.,Cureus,2025,yes,high,3,yes,chronic secondary musculoskeletal pain,multifactorial signal,yes,yes,yes,3
A066_40300000,40300000,PMC12040255,10.1371/journal.pone.0321750,Navigating the biopsychosocial landscape: A systematic review on the association between social support and chronic pain.,PloS one,2025,yes,high,3,yes,mixed or unspecified chronic pain,pseudo-bps or partial signal,no,yes,yes,2
A067_40276470,40276470,PMC12018235,10.3389/fneur.2025.1563295,"Poly-symptomatology of chronic multi-canalicular benign paroxysmal positional vertigo: a deductive, inductive, and abductive narrative review.",Frontiers in neurology,2025,yes,high,3,yes,mixed or unspecified chronic pain,pseudo-bps or partial signal,yes,yes,no,2
A068_40248751,40248751,PMC12004303,10.21037/mhealth-24-53,A debate on integrative vs . interventional approaches to chronic pain: does telemedicine play a role?,mHealth,2025,yes,high,3,yes,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A069_40121905,40121905,PMC11982455,10.1016/j.bjpt.2025.101197,Unraveling the role of fear and avoidance behavior in chronic musculoskeletal pain: from theory to physical therapy clinical practice.,Brazilian journal of physical therapy,2025,yes,high,3,yes,chronic secondary musculoskeletal pain,pseudo-bps or partial signal,yes,yes,no,2
A070_40107166,40107166,,10.1016/j.jpsychores.2025.112086,The effectiveness of hands-off approaches alone or in combination with hands-on approaches in the treatment of chronic cervical pain within a biopsychosocial framework: A systematic review.,Journal of psychosomatic research,2025,yes,high,3,yes,chronic primary pain,multifactorial signal,yes,yes,yes,3
A071_40101218,40101218,PMC11921450,10.1097/j.pain.0000000000003406,Chronic pain in European adult populations: a systematic review of prevalence and associated clinical features.,Pain,2025,yes,high,3,yes,mixed or unspecified chronic pain,rhetorical label signal,no,yes,yes,2
A072_39935669,39935669,PMC11809501,10.64719/pb.4519,Serotonin and Norepinephrine Reuptake Inhibitors (SNRIs) for Treatment of Fibromyalgia: A Comprehensive Clinical Review.,Psychopharmacology bulletin,2025,yes,high,3,yes,chronic primary pain,pseudo-bps or partial signal,yes,yes,no,2
A082_39326720,39326720,PMC11798538,10.1016/j.jpain.2024.104684,Psychologically Informed Physical Therapy Management of Chronic Musculoskeletal Pain in Culturally Diverse Populations: An Intervention Logic Model.,The journal of pain,2025,yes,high,3,yes,chronic secondary musculoskeletal pain,potential integrative signal,yes,yes,yes,3
A084_39237359,39237359,,10.1093/sxmrev/qeae063,Exploring the relationship between temporomandibular disorders and sexual function.,Sexual medicine reviews,2025,yes,high,3,yes,chronic secondary headache or orofacial pain,pseudo-bps or partial signal,yes,yes,no,2
A085_38856092,38856092,,10.1080/09638288.2024.2362398,Measurement properties and feasibility of chronic pain assessment tools for use with children and young people with cerebral palsy.,Disability and rehabilitation,2025,yes,high,3,yes,mixed or unspecified chronic pain,pseudo-bps or partial signal,no,no,no,0
A086_39834401,39834401,PMC11743465,10.3389/fnhum.2024.1463935,The potential impact of exercise on affect and neuroinflammation in older adults living with fibromyalgia: a scoping review.,Frontiers in human neuroscience,2024,yes,high,3,yes,chronic primary pain,pseudo-bps or partial signal,yes,yes,no,2
A087_39652850,39652850,PMC11667132,10.2196/55925,Wearable Devices for Supporting Chronic Disease Self-Management: Scoping Review.,Interactive journal of medical research,2024,yes,high,3,yes,mixed or unspecified chronic pain,rhetorical label signal,no,yes,yes,2
A088_39639261,39639261,PMC11619146,10.1186/s12891-024-08107-4,Same patient but different worlds: A state-of-the-art review translating best practice psychosocial care from musculoskeletal care to the orthopaedic context.,BMC musculoskeletal disorders,2024,yes,high,3,yes,chronic secondary musculoskeletal pain,potential integrative signal,yes,yes,yes,3
A091_39468650,39468650,PMC11514884,10.1186/s41927-024-00430-6,What are the functional and clinical characteristics shared by fibromyalgia and low back pain? A scoping review.,BMC rheumatology,2024,yes,high,3,yes,chronic primary pain,multifactorial signal,yes,yes,yes,3
A094_39434197,39434197,,10.1002/msc.70002,Predictors of Pain Management Outcomes Following Orthopaedic Surgery: A Systematic Review.,Musculoskeletal care,2024,yes,high,3,yes,chronic postsurgical or posttraumatic pain,potential integrative signal,yes,yes,no,2
A095_39353110,39353110,,,Yoga as an Adjunctive Treatment for Chronic Low Back Pain: A Narrative Review.,Pain physician,2024,yes,high,3,yes,chronic secondary musculoskeletal pain,pseudo-bps or partial signal,yes,yes,no,2
A098_39200209,39200209,PMC11351601,10.3390/biomedicines12081744,"Insecure Attachment, Oxytocinergic System and C-Tactile Fibers: An Integrative and Translational Pathophysiological Model of Fibromyalgia and Central Sensitivity Syndromes.",Biomedicines,2024,yes,high,3,yes,chronic primary pain,pseudo-bps or partial signal,yes,yes,no,2
A100_39073865,39073865,PMC11319891,10.2196/55366,eHealth-Integrated Psychosocial and Physical Interventions for Chronic Pain in Older Adults: Scoping Review.,Journal of medical Internet research,2024,yes,high,3,yes,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A036_41188763,41188763,PMC12584504,10.1186/s12887-025-06283-3,The emergence of sex differences in primary pain during adolescence: a conceptual developmentally-oriented biopsychosocial model and opportunities for further investigation.,BMC pediatrics,2025,yes,high,2,yes,chronic primary pain,potential integrative signal,yes,yes,yes,3
A047_40868970,40868970,PMC12387761,10.3390/life15081322,Comorbidities Across Functional Neurological Disorder Subtypes: A Comprehensive Narrative Synthesis.,"Life (Basel, Switzerland)",2025,yes,high,2,yes,mixed or unspecified chronic pain,pseudo-bps or partial signal,yes,yes,no,2
A053_40675665,40675665,,10.1016/j.ncl.2025.04.005,Advances in Our Understanding and Treatment of Nociplastic Pain.,Neurologic clinics,2025,yes,high,2,yes,chronic primary pain,pseudo-bps or partial signal,yes,no,no,1
A080_39673183,39673183,,10.1080/09638288.2024.2438253,A scoping review of mind-body therapies for people with persistent pain after stroke.,Disability and rehabilitation,2025,yes,high,2,yes,chronic neuropathic pain,pseudo-bps or partial signal,no,no,no,0
A083_39266222,39266222,,10.1136/rapm-2024-105599,Risk factors for persistent postoperative opioid use: an entity distinct from chronic postsurgical pain.,Regional anesthesia and pain medicine,2025,yes,high,2,yes,chronic postsurgical or posttraumatic pain,potential integrative signal,no,yes,no,1
A008_41783653,41783653,PMC12955133,10.1016/j.xagr.2026.100610,The influence of antenatal and pregnancy-related factors on recovery after childbirth: a systematic review.,AJOG global reports,2026,yes,low,2,no,mixed or unspecified chronic pain,multifactorial signal,yes,yes,yes,3
A001_42403485,42403485,PMC13328370,10.3389/fnins.2026.1861265,Acoustic stimulation in pain management: neurobiological mechanisms and clinical applications-a narrative review.,Frontiers in neuroscience,2026,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,yes,no,no,1
A002_42385067,42385067,,10.1590/1413-81232026315.05192024,Chronic pain self-management during the return to work process: an integrative review.,Ciencia & saude coletiva,2026,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,no,yes,yes,2
A005_41930351,41930351,PMC13042760,10.1002/mco2.70685,Unraveling Chronic Pain: From Mechanisms and Risks to Diagnosis and Treatment.,MedComm,2026,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,yes,no,no,1
A006_41897178,41897178,PMC13026475,10.3390/healthcare14060725,Biopsychosocial and Cultural Determinants of Functioning and Healthcare Outcomes in Chronic Non-Cancer Pain: An Integrative Review.,"Healthcare (Basel, Switzerland)",2026,yes,medium,3,unclear,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A009_41774945,41774945,,10.1016/j.cpr.2026.102723,Building resilience to chronic pain during childhood: The Situate - Experience - Learn - Feel (SELF) Framework.,Clinical psychology review,2026,yes,medium,3,unclear,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A010_41619996,41619996,,10.1016/j.neubiorev.2026.106586,Oxytocin in chronic pain: From analgesic to biopsychosocial adjuvant - An opinion paper.,Neuroscience and biobehavioral reviews,2026,yes,medium,3,unclear,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A011_41591584,41591584,,10.1007/s11916-026-01465-9,Pain-Related Social and Behavioral Changes: a Complex Interplay.,Current pain and headache reports,2026,yes,medium,3,unclear,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A014_41456977,41456977,,10.1016/j.pmn.2025.12.005,Exploring Biopsychosocial Factors Influencing the Association Between Chronic Pain and Cognitive Impairment.,Pain management nursing : official journal of the American Society of Pain Management Nurses,2026,yes,medium,3,unclear,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A016_41271285,41271285,,10.1016/j.cger.2025.08.005,Dual Experience and Management of Pain in Older Adults and Their Caregivers.,Clinics in geriatric medicine,2026,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,no,no,yes,1
A017_41271276,41271276,,10.1016/j.cger.2025.08.011,Delivering Age-Friendly Interdisciplinary Care for Chronic Pain.,Clinics in geriatric medicine,2026,yes,medium,3,unclear,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A018_41271275,41271275,PMC12988488,10.1016/j.cger.2025.09.010,Adopting Principles to Guide Pathways: The Best Model for Geriatric Pain Management.,Clinics in geriatric medicine,2026,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,no,no,no,0
A020_40748548,40748548,,10.1080/00207144.2025.2531452,Eight Modules of Psychotherapy for Chronic Pain Informed by Hypnosis.,The International journal of clinical and experimental hypnosis,2026,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,no,yes,no,1
A024_41554075,41554075,,10.36740/Merkur202506112,Adverse childhood experiences and the psychopathogenesis of chronic pain: A narrative review.,Polski merkuriusz lekarski : organ Polskiego Towarzystwa Lekarskiego,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A025_41518191,41518191,,10.36740/WLek/214804,Pain epistemology and treatment approaches.,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",2025,yes,medium,3,unclear,mixed or unspecified chronic pain,multifactorial signal,yes,yes,yes,3
A028_41412623,41412623,PMC12716540,10.1136/bmjopen-2025-113138,To assess the clinical utility of composite outcomes in studies examining outcomes of implantable neuromodulation therapies for pain: a systematic review.,BMJ open,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,no,yes,no,1
A033_41324834,41324834,PMC12669279,10.1007/s11916-025-01435-7,Expanding the Lens: Recent Developments at the Intersection of Pediatric Chronic Pain and Gender Diversity.,Current pain and headache reports,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,no,yes,yes,2
A034_41268985,41268985,PMC12637014,10.1111/aphw.70093,Existential therapy for treating chronic pain: A scoping review.,Applied psychology. Health and well-being,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,no,yes,no,1
A039_41153499,41153499,PMC12564171,10.3390/children12101317,Pain Neuroscience Education in Children and Adolescents with Chronic Pain: A Systematic Review.,"Children (Basel, Switzerland)",2025,yes,medium,3,unclear,mixed or unspecified chronic pain,potential integrative signal,no,yes,yes,2
A041_41136126,41136126,,10.1016/j.cnur.2025.01.011,Pain Psychology.,The Nursing clinics of North America,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A044_41105043,41105043,PMC12533558,10.1111/ejn.70275,Pain Perception and Modulation: Fundamental Neurobiology and Recent Advances.,The European journal of neuroscience,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,yes,no,no,1
A045_41086339,41086339,,10.1097/j.pain.0000000000003673,"Biomarkers to predict, prevent, and treat persistent pain: omics.",Pain,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A050_40731802,40731802,PMC12298038,10.3390/medicina61071172,Sex-Related Differences in Chronic Pain: A Narrative Review by a Multidisciplinary Task Force.,"Medicina (Kaunas, Lithuania)",2025,yes,medium,3,unclear,mixed or unspecified chronic pain,multifactorial signal,yes,yes,yes,3
A052_40675666,40675666,,10.1016/j.ncl.2025.04.006,Contemporary Approaches to Multidisciplinary Pain Management.,Neurologic clinics,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,no,no,no,0
A055_40589056,40589056,PMC12221948,10.3344/kjp.24425,"Knowledge, mechanisms, and intervention of the polytrauma clinical triad in military pain medicine.",The Korean journal of pain,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A056_40581443,40581443,,10.1016/j.pmr.2025.03.006,Functional Syndromes in the Pediatric Population and Their Rehabilitation Management: Chronic Pain Syndrome and Functional Neurologic Disorder.,Physical medicine and rehabilitation clinics of North America,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,potential integrative signal,no,no,yes,1
A057_40566105,40566105,PMC12194401,10.3390/jcm14124360,Pain Neuroscience Education on Reducing Opioid Dependency in African American and Caucasian Populations: A Narrative Review.,Journal of clinical medicine,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A058_40563913,40563913,PMC12189068,10.3390/biology14060662,"Neurobiology of Chronic Pain, Posttraumatic Stress Disorder, and Mild Traumatic Brain Injury.",Biology,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,yes,yes,no,2
A059_40526682,40526682,,10.36740/WLek/205402,Peculiarities of prevention of chronic pain associated with combat trauma.,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",2025,yes,medium,3,unclear,mixed or unspecified chronic pain,multifactorial signal,yes,yes,yes,3
A060_40522393,40522393,PMC12279561,10.1007/s00482-025-00889-3,[Pain reprocessing therapy - rethinking pain : A new psychotherapeutic approach for the treatment of chronic pain].,"Schmerz (Berlin, Germany)",2025,yes,medium,3,unclear,chronic primary pain,pseudo-bps or partial signal,yes,yes,no,2
A061_40508951,40508951,PMC12154370,10.3390/healthcare13111338,"Harnessing Extended Reality for Neurocognitive Training in Chronic Pain: State of the Art, Opportunities, and Future Directions.","Healthcare (Basel, Switzerland)",2025,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,no,yes,no,1
A062_40495824,40495824,PMC12151456,10.7759/cureus.85717,Beyond the Biomedical Model: A Critical Review of the Approach to Chronic Pain and the Proposal of an Integrated Functional Model.,Cureus,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,yes,no,no,1
A063_40473903,40473903,PMC12364734,10.1007/s10943-025-02343-1,Is Spirituality Included in Spanish Language Pain Assessment Scales? A Scoping Review of Instruments Available.,Journal of religion and health,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,no,yes,no,1
A065_40441869,40441869,,10.1515/sjpain-2024-0082,An action plan: The Swedish healthcare pathway for adults with chronic pain.,Scandinavian journal of pain,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,no,yes,yes,2
A073_39932615,39932615,,10.1007/s11916-025-01367-2,"The Potential of Wearable, Modular Devices in Monitoring Functional Clinical Metrics in Patients Suffering from Chronic Pain.",Current pain and headache reports,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,yes,yes,no,2
A077_39892286,39892286,PMC11833345,10.1016/j.bjpt.2025.101176,Pain revolution in the public health system: Active coping strategies for chronic pain unit.,Brazilian journal of physical therapy,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A078_39809241,39809241,,10.1159/000543438,Childhood Maltreatment and Somatic Symptoms in Adulthood: Establishing a New Research Pathway.,Neuropsychobiology,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A081_39395567,39395567,,10.1016/j.jpain.2024.104703,Establishing consensus on biopsychosocial factors associated with pediatric chronic pain: A modified Delphi study.,The journal of pain,2025,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,no,yes,yes,2
A089_39629040,39629040,PMC11613041,10.3389/fmolb.2024.1382555,Deciphering pain: molecular mechanisms and neurochemical pathways-challenges and future opportunities.,Frontiers in molecular biosciences,2024,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,yes,no,no,1
A090_39624230,39624230,PMC11609167,10.3389/fpain.2024.1445280,"The mutually reinforcing dynamics between pain and stress: mechanisms, impacts and management strategies.","Frontiers in pain research (Lausanne, Switzerland)",2024,yes,medium,3,unclear,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A092_39445931,39445931,,10.1212/CON.0000000000001471,Chronic Pain Psychology in Neurology Practice.,"Continuum (Minneapolis, Minn.)",2024,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,no,yes,no,1
A096_39338018,39338018,PMC11431289,10.3390/ijerph21091135,Integrated Approach to Chronic Pain-The Role of Psychosocial Factors and Multidisciplinary Treatment: A Narrative Review.,International journal of environmental research and public health,2024,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,no,yes,yes,2
A097_39288670,39288670,,10.1016/j.msksp.2024.103182,Contents and delivery methods of pain neuroscience education in pediatrics: A scoping review.,Musculoskeletal science & practice,2024,yes,medium,3,unclear,mixed or unspecified chronic pain,pseudo-bps or partial signal,yes,yes,no,2
