record_id,review_type,objective_category,objective_category_source,icd11_pain_category,musculoskeletal_flag,bps_function,bio_mentioned,psych_mentioned,social_mentioned,quality_assessment_reported,psychological_concepts_detected,theoretical_frameworks_detected,conceptual_problem_flags,provisional_typology,stage3_candidate,stage3_priority,coding_rationale,coding_method,llm_model
pubmed_22102156,narrative or expert review,clinical,llm_structured,chronic secondary headache or orofacial pain,no,intervention rationale,yes,yes,yes,no,depression | anxiety | stress,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_36527589,narrative or expert review,epidemiological,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,stress,,none,potential integrative signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_28752491,systematic review,conceptual,llm_structured,chronic secondary musculoskeletal pain,yes,explanatory framework,yes,yes,yes,no,resilience,,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_33563380,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,yes,no,yes,no,,,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_17350550,narrative or expert review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,explanatory framework,yes,yes,yes,no,depression,,none,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_23218435,narrative or expert review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,intervention rationale,yes,no,yes,no,,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_26096090,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,rhetorical label,no,yes,yes,no,,,tokenistic_bps | vague_definition | missing_biology,rhetorical label signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_41271285,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,no,no,yes,no,,,missing_biology,potential integrative signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_30594766,narrative or expert review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,intervention rationale,yes,no,yes,no,,mechanistic approach,parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_29729787,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,background framing,no,no,yes,no,psychosocial comorbidities,,parallel_listing_without_integration | mechanistic_absence | missing_biology,pseudo-bps or partial signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
WOS:000453643300005,scoping or mapping review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,organizing principle,no,yes,yes,no,coping,,vague_definition | parallel_listing_without_integration | mechanistic_absence | missing_biology,pseudo-bps or partial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_27344405,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,fear-avoidance | depression | anxiety | acceptance | substance use | suicide,fear-avoidance model,none,potential integrative signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_26614718,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,no,yes,yes,no,depression,,vague_definition | tokenistic_bps | missing_biology,rhetorical label signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_26614715,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,organizing principle,yes,yes,yes,no,psychological impact,central sensitization,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_19289225,systematic review,clinical,llm_structured,chronic secondary headache or orofacial pain,no,intervention rationale,yes,yes,yes,no,stress,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_40675665,systematic review,clinical,llm_structured,chronic primary pain,no,intervention rationale,yes,no,yes,no,,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_27325001,systematic review,clinical,llm_structured,chronic secondary headache or orofacial pain,unclear,intervention rationale,no,yes,yes,no,depression,,parallel_listing_without_integration | mechanistic_absence | missing_biology,multifactorial signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_27246519,systematic review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,depression | anxiety | stress,,none,potential integrative signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_24602442,systematic review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,organizing principle,no,yes,yes,no,depression | anxiety,,parallel_listing_without_integration | mechanistic_absence | missing_biology,multifactorial signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_28947182,systematic review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,depression,,missing_social,pseudo-bps or partial signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_22814445,systematic review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,intervention rationale,yes,no,yes,no,pain experience,neuroscience,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_1477890,narrative or expert review,unclear,llm_structured,chronic secondary musculoskeletal pain,yes,unclear,no,no,yes,no,,,vague_definition | parallel_listing_without_integration | mechanistic_absence | missing_biology,pseudo-bps or partial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_12948346,narrative or expert review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,explanatory framework,no,yes,yes,no,stress | cognitive-behavioral therapy | pain-related thoughts | emotions,medical model,missing_biology,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_17592957,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,psychosocial factors,neuroscience,none,potential integrative signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_18235536,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,no,yes,yes,no,maladaptive beliefs,,parallel_listing_without_integration | mechanistic_absence | missing_biology,multifactorial signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_24113949,narrative or expert review,clinical,llm_structured,chronic secondary headache or orofacial pain,no,rhetorical label,no,no,yes,no,,,tokenistic_bps | vague_definition | missing_biology,rhetorical label signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_11092802,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,yes,explanatory framework,no,no,yes,no,,,missing_biology,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_37575343,systematic review,clinical,llm_structured,chronic secondary visceral pain,no,intervention rationale,no,no,yes,no,,,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence | missing_biology,pseudo-bps or partial signal,yes,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_32988440,narrative or expert review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,intervention rationale,no,no,yes,no,,,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence | missing_biology,pseudo-bps or partial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_27351769,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,no,organizing principle,yes,yes,yes,no,,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_35645164,narrative or expert review,conceptual,llm_structured,chronic secondary musculoskeletal pain,yes,explanatory framework,yes,no,yes,no,,,vague_definition | tokenistic_bps,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_11762878,narrative or expert review,conceptual,llm_structured,chronic secondary musculoskeletal pain,yes,explanatory framework,yes,yes,yes,no,coping | stress,,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_33682560,systematic review,clinical,llm_structured,chronic secondary headache or orofacial pain,yes,intervention rationale,yes,yes,yes,no,,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_36706441,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,no,no,yes,no,,,missing_biology,potential integrative signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_16968689,narrative or expert review,conceptual,llm_structured,chronic secondary musculoskeletal pain,yes,explanatory framework,yes,yes,yes,no,,,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_40418249,systematic review,epidemiological,llm_structured,chronic secondary musculoskeletal pain,yes,organizing principle,yes,yes,yes,no,depression | stress,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_10870733,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,rhetorical label,yes,no,yes,no,,,vague_definition | tokenistic_bps,rhetorical label signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_2181358,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,no,explanatory framework,yes,yes,yes,no,coping | stress,,none,potential integrative signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_30520741,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,no,intervention rationale,yes,no,yes,no,,,tokenistic_bps | vague_definition,rhetorical label signal,yes,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_26889614,systematic review,epidemiological,llm_structured,chronic postsurgical or posttraumatic pain,unclear,explanatory framework,no,no,yes,no,,,missing_biology,potential integrative signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_29494401,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,rhetorical label,yes,no,yes,no,,,tokenistic_bps | vague_definition,rhetorical label signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_35467583,narrative or expert review,clinical,llm_structured,chronic secondary visceral pain,no,organizing principle,yes,no,yes,no,,,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_27023418,meta-analysis,epidemiological,llm_structured,mixed or unspecified chronic pain,unclear,rhetorical label,yes,no,yes,no,,,tokenistic_bps | vague_definition,rhetorical label signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_27902569,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,catastrophizing | stress,,none,potential integrative signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_31977935,systematic review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,intervention rationale,yes,no,yes,no,,,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_40101218,systematic review,epidemiological,llm_structured,mixed or unspecified chronic pain,unclear,background framing,no,no,yes,yes,,,parallel_listing_without_integration | mechanistic_absence | missing_biology,multifactorial signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_32871946,meta-analysis,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,intervention rationale,no,no,yes,no,,,missing_biology,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_27496639,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,rhetorical label,yes,no,yes,no,,,tokenistic_bps | vague_definition,rhetorical label signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_24080806,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,,,none,potential integrative signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_24690764,narrative or expert review,conceptual,llm_structured,chronic cancer-related pain,no,explanatory framework,no,yes,yes,no,depression | anxiety | stress,,missing_biology,potential integrative signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_30893103,narrative or expert review,conceptual,llm_structured,chronic postsurgical or posttraumatic pain,yes,explanatory framework,yes,yes,yes,no,catastrophizing,,parallel_listing_without_integration,pseudo-bps or partial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_22406986,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,depression | stress,,none,potential integrative signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_23314014,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,no,intervention rationale,yes,yes,yes,no,depression,,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_26148424,narrative or expert review,clinical,llm_structured,chronic primary pain,yes,intervention rationale,yes,yes,yes,no,depression | anxiety,,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_41268985,scoping or mapping review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,no,yes,yes,no,coping,,missing_biology | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_41105043,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,yes,explanatory framework,yes,no,yes,no,,,missing_social,pseudo-bps or partial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_24261452,narrative or expert review,clinical,llm_structured,chronic secondary headache or orofacial pain,no,intervention rationale,no,yes,yes,no,,,parallel_listing_without_integration | mechanistic_absence | missing_biology,pseudo-bps or partial signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_17371358,narrative or expert review,conceptual,llm_structured,chronic secondary headache or orofacial pain,no,explanatory framework,yes,yes,yes,no,depression | anxiety | self-efficacy,,missing_social,pseudo-bps or partial signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_29722923,systematic review,clinical,llm_structured,chronic neuropathic pain,no,rhetorical label,yes,yes,yes,no,,,tokenistic_bps | vague_definition,rhetorical label signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_35990762,narrative or expert review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,intervention rationale,yes,yes,yes,no,fear-avoidance | self-efficacy,,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_12421777,narrative or expert review,clinical,llm_structured,chronic postsurgical or posttraumatic pain,unclear,intervention rationale,yes,no,yes,no,,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_32870949,narrative or expert review,clinical,llm_structured,chronic secondary headache or orofacial pain,no,justification,no,no,yes,no,,,tokenistic_bps | vague_definition | missing_biology,rhetorical label signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_26600874,narrative or expert review,clinical,llm_structured,chronic postsurgical or posttraumatic pain,yes,intervention rationale,no,yes,yes,no,anxiety,,parallel_listing_without_integration | mechanistic_absence | missing_biology,pseudo-bps or partial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_22435173,meta-analysis,conceptual,llm_structured,chronic secondary headache or orofacial pain,yes,rhetorical label,yes,yes,yes,no,,,tokenistic_bps | vague_definition,rhetorical label signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_23786498,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,no,intervention rationale,yes,yes,yes,no,catastrophizing | depression | stress,,none,potential integrative signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_24405725,systematic review,epidemiological,llm_structured,chronic secondary musculoskeletal pain,yes,intervention rationale,yes,yes,yes,no,depression | anxiety,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_40624502,systematic review,conceptual,llm_structured,mixed or unspecified chronic pain,yes,explanatory framework,yes,yes,yes,yes,,,missing_social,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_39468650,scoping or mapping review,clinical,llm_structured,chronic primary pain,yes,organizing principle,yes,yes,yes,no,fear-avoidance | coping | depression | anxiety | illness perception | stress,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_17420400,meta-analysis,mixed,llm_structured,chronic secondary musculoskeletal pain,yes,intervention rationale,yes,no,yes,no,,,parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_39137213,meta-analysis,methodological,llm_structured,chronic secondary musculoskeletal pain,yes,unclear,yes,no,yes,yes,,,parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_36791365,narrative or expert review,clinical,llm_structured,chronic secondary headache or orofacial pain,no,intervention rationale,yes,yes,yes,no,depression | anxiety,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_22550985,narrative or expert review,mixed,llm_structured,chronic secondary headache or orofacial pain,no,justification,yes,no,yes,no,,,none,pseudo-bps or partial signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_19418887,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,stress,,none,multifactorial signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_24966693,narrative or expert review,conceptual,llm_structured,chronic secondary musculoskeletal pain,yes,explanatory framework,yes,yes,yes,no,,,none,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_25953594,systematic review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,explanatory framework,yes,yes,yes,no,,,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_38754116,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,yes,explanatory framework,yes,yes,yes,no,,,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_39629040,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,no,yes,no,,,none,potential integrative signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_38137395,narrative or expert review,clinical,llm_structured,chronic neuropathic pain,no,rhetorical label,yes,yes,yes,no,stress,,missing_social | tokenistic_bps | vague_definition,pseudo-bps or partial signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_26039013,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,no,intervention rationale,yes,yes,yes,no,stress | resilience,,none,potential integrative signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_38132273,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,organizing principle,no,no,yes,no,,,vague_definition | parallel_listing_without_integration | mechanistic_absence | missing_biology,pseudo-bps or partial signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_38470686,systematic review,epidemiological,llm_structured,chronic secondary headache or orofacial pain,unclear,rhetorical label,no,yes,yes,yes,depression | anxiety | stress,,tokenistic_bps | vague_definition | missing_biology,rhetorical label signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_33396262,scoping or mapping review,methodological,llm_structured,chronic secondary headache or orofacial pain,no,organizing principle,no,yes,yes,no,,,missing_biology,potential integrative signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_36675454,narrative or expert review,clinical,llm_structured,chronic secondary visceral pain,no,background framing,yes,no,yes,no,,,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
